	0.165625	0.009375	0.65
reported	0.0833333333333	0.0833333333333	0.666666666667
consumers	0.0	0.0	1.0
china	0.142857142857	0.0	0.714285714286
mrduncanjames	0.5	0.0	0.0
&&	0.285714285714	0.142857142857	0.142857142857
cult	0.25	0.0	0.5
d_degea	0.5	0.0	0.0
tatum	0.3	0.15	0.1
buddy	0.2	0.0	0.6
iguana's	0.0	0.0	1.0
kids	0.181818181818	0.106060606061	0.424242424242
uplifting	0.5	0.0	0.0
zz's	0.0	0.0	1.0
eolivet	0.5	0.0	0.0
trustmeimsamin	0.0	0.0	1.0
navigating1d	0.5	0.0	0.0
ucf	0.0	0.0	1.0
reports	0.0	0.0	1.0
controversy	0.3125	0.25	0.0
electricity	0.166666666667	0.0	0.666666666667
2wee	0.5	0.0	0.0
kidd	0.5	0.0	0.0
karim	0.0	0.25	0.5
s'mores	0.0	0.0	1.0
60k+	0.0	0.0	1.0
military	0.166666666667	0.333333333333	0.0
ruskin	0.5	0.0	0.0
luxembourg	0.5	0.0	0.0
ironman70	0.5	0.0	0.0
pairings	0.5	0.0	0.0
criticism	0.25	0.25	0.0
golden	0.0	0.0	1.0
swan	0.0625	0.5	0.0
geeeasy	0.0	0.5	0.0
marino	0.0	0.0	1.0
mota	0.0	0.5	0.0
marlitah	0.5	0.0	0.0
jay_oliva20	0.0	0.0	1.0
argo	0.5	0.0	0.0
gloaming	0.0	0.0	1.0
replace	0.0	0.0	1.0
brought	0.0	0.0	1.0
sab_cat	0.5	0.0	0.0
tirico	0.0	0.0	1.0
shoddy	0.0	0.5	0.0
displaced	0.125	0.0	1.0
ansarkhanmlive	0.0	0.0	1.0
stern	0.25	0.0	0.5
suadonte	0.5	0.0	0.0
okcbarons	0.0	0.0	1.0
univ	0.5	0.0	0.0
sexslaves	0.0	0.0	1.0
unit	0.25	0.25	0.0
opponents	0.0	0.0	1.0
maziing	0.5	0.0	0.0
ulazysackofshit	0.0	0.5	0.0
mtn	0.0	0.0	1.0
dna	0.0	0.0	1.0
spoke	0.0833333333333	0.166666666667	0.5
sekera/pysyk/2nd	0.0	0.0	1.0
recruit/trainee	0.0	0.0	1.0
cole's	0.5	0.0	0.0
42	0.0	0.25	0.5
cannibal	0.0	0.0	1.0
vol	0.5	0.0	0.0
music	0.205882352941	0.0441176470588	0.5
e3	0.0	0.0	1.0
strike	0.0625	0.25	0.5
catchh	0.0	0.5	0.0
e2	0.5	0.0	0.0
calculator	0.0	0.0	1.0
brent	0.0	0.0	1.0
cheersforthenetboys	0.5	0.0	0.0
hoffmann	0.0	0.0	1.0
bruinfam	0.5	0.0	0.0
boksburg	0.0	0.0	1.0
holy	0.192307692308	0.0769230769231	0.461538461538
successful	0.8125	0.0	0.0
brings	0.1	0.2	0.4
16bit	0.0	0.0	1.0
hols	0.5	0.0	0.0
yahoo	0.5	0.375	0.0
luttrell	0.0	0.0	1.0
hurt	0.166666666667	0.166666666667	0.333333333333
99	0.0	0.0	1.0
glass	0.3	0.1	0.2
sweetspotnation	0.0	0.0	1.0
movienight	0.0	0.0	1.0
tying	0.0	0.5	0.0
ddliverpool	0.0	0.0	1.0
91	0.5	0.0	0.0
90	0.5	0.0	0.0
hole	0.21875	0.25	0.3125
hold	0.262931034483	0.0862068965517	0.551724137931
justincrew	0.0	0.5	0.0
94	0.0	0.0	1.0
gelndale	0.0	0.0	1.0
96	0.5	0.0	0.0
locked	0.0	0.166666666667	0.666666666667
dreadful	0.5	0.3125	0.0
virtuous	0.4375	0.0	1.0
georgea_may	0.5	0.0	0.0
pursue	0.5	0.0	0.0
selections	0.0	0.0	1.0
gulfcoasttider	0.0	0.0	1.0
jamespearceecho	0.5	0.0	0.0
locker	0.166666666667	0.0	0.666666666667
staytunned	0.0	0.0	1.0
temperatures	0.5	0.0	0.0
estella	0.05	0.2	0.5
shaving	0.0	0.5	0.0
head/dethklok/all	0.5	0.0	0.0
galaxyplaytrackoftheday	0.0	0.0	1.0
india's	0.0	0.0	1.0
fists	0.0	0.0	1.0
melons	0.0	0.0	1.0
jiyoung_min	0.5	0.0	0.0
wang	0.0	0.0	1.0
hyatt	0.0	0.0	1.0
wank	0.0	0.5	0.0
household	0.0	0.0	1.0
nbcagt	0.5	0.0	0.0
organized	0.5	0.0	0.0
gonchar	0.0	0.0	1.0
dudeimstoked	0.5	0.0	0.0
charlton	0.5	0.0	0.0
glued	0.5	0.0	0.0
ladsontour	0.0	0.0	1.0
4&5	0.5	0.0	0.0
duhast	0.5	0.0	0.0
busch	0.0	0.0	1.0
absolute	0.25	0.25	0.0
preferably	0.0	0.0	1.0
hog	0.2625	0.15	0.3
hod	0.0	0.0	1.0
hoe	0.0	0.5	0.0
complaining	0.5	0.0	0.0
hoo	0.25	0.0	0.5
travel	0.0	0.05	0.9
lucyyhale	0.5	0.0	0.0
dearborn	0.5	0.0	0.0
feature	0.166666666667	0.0833333333333	0.5
comedians	0.5	0.0	0.0
revisit	0.0	0.0	1.0
machine	0.0833333333333	0.0833333333333	0.666666666667
clubbing	0.5	0.0	0.0
janata	0.111111111111	0.222222222222	0.333333333333
hatembomb	0.5	0.0	0.0
hop	0.25	0.0	0.5
walbridge	0.0	0.0	1.0
yum	0.333333333333	0.0	0.333333333333
limmengkeong	0.5	0.0	0.0
chase	0.5	0.0	0.0
imaaa	0.25	0.0	0.5
ronnie	0.0	0.5	0.0
comotto	0.5	0.0	0.0
bencuzzupe	0.0	0.0	1.0
gaming	0.25	0.0	0.5
regional	0.333333333333	0.0	0.333333333333
cyinn	0.5	0.0	0.0
beauty	0.464285714286	0.0	0.571428571429
typed	0.0	0.0	1.0
callmecrazy	0.0	0.5	0.0
worldbookday	0.0	0.0	1.0
ernasty49	0.5	0.0	0.0
superriors	0.5	0.0	0.0
shores	0.0	0.0	1.0
sabrini_p	0.0	0.0	1.0
wrong	0.1	0.708333333333	0.133333333333
latech	0.5	0.0	0.0
wirch	0.0	0.0	1.0
messengerlady7	0.0	0.0	1.0
craigfots	0.0	0.5	0.0
revis	0.0	0.0	1.0
salina	0.0	0.0	1.0
wabasha	0.0	0.0	1.0
nonprofit	0.0	0.0	1.0
siberia	0.0	0.166666666667	0.666666666667
turnovers	0.333333333333	0.0	0.333333333333
chere	0.5	0.0	0.0
wordpressdotcom	0.0	0.0	1.0
effective	0.291666666667	0.166666666667	0.333333333333
wins	0.350378787879	0.030303030303	0.363636363636
alexandhispants	0.0	0.5	0.0
weighton	0.5	0.0	0.0
sylvain	0.25	0.25	0.0
nesba	0.5	0.0	0.0
luring	0.0	0.0	1.0
(6513	0.0	0.5	0.0
18th	0.25	0.0208333333333	0.458333333333
beatappstate	0.0	0.0	1.0
-18	0.0	0.0	1.0
repatriated	0.0	0.0	1.0
democratic	0.3125	0.0	1.0
romper	0.5	0.0	0.0
wind	0.2625	0.0	0.6
wine	0.2	0.0666666666667	0.466666666667
carney	0.5	0.0	0.0
benjy1416	0.0	0.0	1.0
feedback	0.5	0.0	0.0
maybenextyear	0.5	0.0	0.0
camurria10	0.0	0.0	1.0
missjpangelina	0.0	0.0	1.0
vary	0.0	0.0	1.0
happymonkeyshoe	0.0	0.5	0.0
partnered	0.0	0.0	1.0
today/	0.5	0.0	0.0
barclays	0.0	0.0	1.0
shoutheyband	0.0	0.0	1.0
officialpwi	0.0	0.0	1.0
ucl	0.0	0.0	1.0
tweet(s	0.0	0.25	0.5
mathnasium	0.0	0.0	1.0
siralex671	0.0	0.0	1.0
cbs's	0.0	0.0	1.0
fir	0.5	0.0	0.0
satisfied	0.6875	0.0	0.0
kramer	0.5	0.0	0.0
esherrugby	0.5	0.0	0.0
fit	0.2625	0.15	0.3
whiptail	0.0	0.0	1.0
screaming	0.0	0.1875	1.0
fix	0.333333333333	0.166666666667	0.0
striking	0.375	0.0	0.5
lmaoo	0.5	0.0	0.0
g37	0.0	0.5	0.0
and/or	0.5	0.0	0.0
fic	0.0	0.5	0.0
fig	0.5	0.0	0.0
wales	0.0	0.0	1.0
hidden	0.125	0.5	0.0
knickstape	0.5	0.0	0.0
easier	0.625	0.0	0.0
fil	0.0	0.0	1.0
yardbarker	0.0	0.0	1.0
fhm	0.5	0.0	0.0
lambert	0.5	0.0	0.0
somerset	0.5	0.0	0.0
educating	0.0	0.0	1.0
cebufinest	0.5	0.0	0.0
effects	0.5	0.125	0.0
schools	0.285714285714	0.142857142857	0.142857142857
halloweenfacts	0.5	0.0	0.0
sixteen	0.357142857143	0.0	0.285714285714
silver	0.0	0.0	1.0
saddened	0.25	0.25	0.0
maliagotmonae	0.5	0.0	0.0
rumour	0.2	0.0	0.6
redarmy49	0.0	0.0	1.0
liberalised	0.5	0.0	0.0
ammunitiondepot	0.5	0.0	0.0
alinea's	0.0	0.0	1.0
iwetbiebersbed	0.0	0.0	1.0
clumsy	0.5	0.125	0.0
lillian	0.0	0.0	1.0
eww	0.0	0.5	0.0
debut	0.2	0.025	0.55
barton	0.0	0.0	1.0
dumps	0.0625	0.25	0.5
skills	0.125	0.0	1.0
jshapmma	0.5	0.0	0.0
vintagenow	0.5	0.0	0.0
timeout	0.0	0.0	1.0
addicted	0.2	0.2	0.2
viggle	0.5	0.0	0.0
payton	0.333333333333	0.0	0.333333333333
interfering	0.0	0.375	1.0
coachwhitmsm	0.0	0.0	1.0
development	0.0	0.0	1.0
financial	0.625	0.0	0.0
telescope	0.5	0.0	0.0
woes	0.25	0.0	0.5
mdb	0.5	0.0	0.0
series	0.25	0.0178571428571	0.464285714286
turnin	0.0	0.0	1.0
zay	0.0	0.0	1.0
winduprecords	0.5	0.0	0.0
spider	0.0	0.0	1.0
matthewberrytmr	0.0	0.0	1.0
dubstep	0.0	0.0	1.0
395	0.0	0.5	0.0
melting	0.5	0.0	0.0
2day	0.333333333333	0.0	0.333333333333
co-star	0.5	0.0	0.0
mdp	0.0	0.5	0.0
seriea	0.0	0.5	0.0
chasericemusic	0.5	0.0	0.0
ring	0.25	0.0	0.5
whip	0.166666666667	0.166666666667	0.333333333333
rt	0.158839779006	0.0524861878453	0.577348066298
ru	0.0	0.0	1.0
jasminealexis	0.0	0.0	1.0
trending	0.235294117647	0.147058823529	0.235294117647
petrolia's	0.0	0.5	0.0
rs	0.0	0.333333333333	0.333333333333
afraid	0.0	0.0	1.0
2300	0.0	0.0	1.0
smu	0.0	0.5	0.0
nidge1uk	0.0	0.0	1.0
mason	0.0	0.0	1.0
f1	0.0	0.5	0.0
christoferdrew	0.5	0.0	0.0
rf	0.0	0.0	1.0
rg	0.5	0.0	0.0
ra	0.25	0.0	0.5
(((:	0.5	0.0	0.0
smh	0.0	0.0	1.0
sme	0.0	0.0	1.0
millions	0.25	0.0	0.5
ofcourse	0.5	0.0	0.0
ri	0.0	0.0	1.0
rj	0.0	0.0	1.0
foundation	0.0	0.0	1.0
ihavenoregrets	0.0	0.0	1.0
hassler-	0.0	0.0	1.0
assured	0.8125	0.0	0.0
sellout	0.0	0.5	0.0
jedward	0.25	0.0	0.5
dracula	0.5	0.0	0.0
lysscarto18	0.5	0.0	0.0
suggestion	0.0	0.25	0.5
jessicaeven	0.5	0.0	0.0
yazbanz	0.0	0.5	0.0
assures	0.5	0.0	0.0
pumpkins	0.0	0.0	1.0
kisscorona	0.5	0.0	0.0
muscling	0.0	0.5	0.0
crowned	0.0	0.0	1.0
knit	0.5	0.0	0.0
10-5p	0.5	0.0	0.0
r5	0.0	0.0	1.0
competes	0.5	0.0	0.0
ate	0.142857142857	0.142857142857	0.428571428571
saha	0.0555555555556	0.0555555555556	0.777777777778
sekai	0.0	0.0	1.0
ostend	0.5	0.0	0.0
ath	0.25	0.0	0.5
heading	0.229166666667	0.0416666666667	0.458333333333
silicon	0.2	0.0	0.6
shipped	0.125	0.125	0.5
musicians	0.0	0.25	0.5
atr	0.5	0.0	0.0
competed	0.5	0.0	0.0
tempting	0.75	0.0	0.0
_justkel	0.0	0.0	1.0
kingdom	0.2	0.1	0.4
d&d	0.0	0.0	1.0
d&g	0.0	0.0	1.0
clothes	0.4	0.0	0.2
alderson	0.0	0.5	0.0
gregurovic/nicol	0.5	0.0	0.0
jpc	0.0	0.5	0.0
hearsay	0.0	0.0	1.0
elmo	0.0	0.0	1.0
overtaken	0.5	0.0	0.0
channels	0.5	0.0	0.0
wash	0.0	0.25	0.5
chevron	0.0	0.0	1.0
eczemasupport	0.0	0.0	1.0
nbcsports	0.0	0.0	1.0
bitten	0.0	0.0	1.0
roni	0.0	0.0	1.0
basketball	0.151785714286	0.0178571428571	0.660714285714
julian's	0.0	0.0	1.0
service	0.0625	0.104166666667	0.666666666667
lego	0.25	0.0	0.5
sarawoof	0.5	0.0	0.0
engagement	0.0	0.0	1.0
tango	0.0	0.0	1.0
stack	0.0	0.5625	0.0
needed	0.291666666667	0.0833333333333	0.25
master	0.0	0.0	1.0
listed	0.0	0.25	0.5
forecasts	0.0	0.5	0.0
modric	0.0	0.0	1.0
gilbert	0.5	0.0	0.0
petrolia-vfd	0.0	0.0	1.0
me/	0.0	0.0	1.0
listen	0.166666666667	0.104166666667	0.458333333333
danish	0.0	0.0	1.0
looted	0.0	0.25	0.5
staff/promotions	0.5	0.0	0.0
collapse	0.0	0.0	1.0
hows	0.5	0.0	0.0
cushions	0.0	0.0	1.0
oingo	0.5	0.0	0.0
cocktails	0.5	0.0	0.0
bounty	0.5	0.0625	0.0
mena	0.0	0.0	1.0
madison	0.2	0.1	0.4
wisdom	0.0	0.5	0.0
nirvana	0.166666666667	0.368055555556	0.555555555556
mallofamerica	0.0	0.0	1.0
cryerrovers	0.0	0.0	1.0
channel4	0.0	0.0	1.0
k.k.	0.0	0.0	1.0
lennoxlewis	0.5	0.0	0.0
crawl	0.5	0.0	0.0
lma0	0.5	0.0	0.0
fuckaria	0.5	0.0	0.0
carrick	0.25	0.0	0.5
tortolitas	0.0	0.0	1.0
trek	0.0	0.0	1.0
joeskirkie's	0.5	0.0	0.0
chrisewan's	0.0	0.0	1.0
showed	0.318181818182	0.0454545454545	0.272727272727
saeed	0.5	0.0	0.0
fufu	0.0	0.0	1.0
rizzo	0.0	0.0	1.0
anniversaries	0.0	0.0	1.0
tree	0.0	0.25	0.5
h's	0.0	0.0	1.0
uprlka	0.0	0.0	1.0
shower	0.0	0.125	0.75
milkily	0.0	0.0	1.0
idle	0.0	0.0	1.0
sheen	0.125	0.0625	0.625
haye	0.0384615384615	0.0769230769231	0.769230769231
tres	0.5	0.0	0.0
feeling	0.267045454545	0.159090909091	0.272727272727
old,	0.0	0.5	0.0
joe_sardelli	0.0	0.5	0.0
etihad	0.5	0.0	0.0
blackhawks	0.0	0.0	1.0
tcaformiley	0.5	0.0	0.0
me3	0.5	0.0	0.0
all-madden	0.0	0.0	1.0
runner	0.333333333333	0.166666666667	0.0
boston	0.0454545454545	0.0909090909091	0.727272727273
aapl	0.5	0.0	0.0
spectrum	0.0	0.0	1.0
megishere	0.0	0.5	0.0
concordia	0.0	0.25	0.5
novemember	0.0	0.0	1.0
elen	0.5	0.0	0.0
charlie_vandy	0.5	0.0	0.0
modera	0.0	0.0	1.0
chadlindberg	0.5	0.0	0.0
guti's	0.0	0.0	1.0
havokgrimey	0.5	0.0	0.0
joeybadass_	0.0	0.0	1.0
4barsoffire	0.5	0.0	0.0
9-09	0.0	0.0	1.0
ruston	0.5	0.0	0.0
releases	0.25	0.25	0.25
60th	0.0	0.0	1.0
rudolph	0.181818181818	0.0	0.636363636364
kaya	0.0	0.0	1.0
racers	0.5	0.0	0.0
carolinemanzo	0.0	0.5	0.0
recommended	0.1875	0.5	0.0
causing	0.25	0.0	0.5
lumpur	0.0	0.0	1.0
doors	0.1875	0.0	0.625
billybragg	0.0	0.0	1.0
fightingtalk	0.5	0.0	0.0
scummy	0.0	0.9375	0.0
grips	0.5	0.0	0.0
liver/kidneys	0.0	0.0	1.0
randle	0.5	0.0	0.0
truman's	0.0	0.0	1.0
j43	0.0	0.0	1.0
tdlautner34	0.0	0.0	1.0
welly	0.0	0.0	1.0
desdemonaous	0.0	0.5	0.0
thrilled	0.5	0.0	0.25
huh	0.125	0.25	0.25
mod_tr3chic	0.5	0.0	0.0
danspeerin	0.0	0.5	0.0
steven's	0.5	0.0	0.0
wells	0.0	0.0	1.0
39-34	0.0	0.0	1.0
aunt's	0.5	0.0	0.0
theatres	0.166666666667	0.0	0.666666666667
richardkingson	0.0	0.0	1.0
errors	0.0	0.8125	0.0
gallagher	0.166666666667	0.111111111111	0.444444444444
mswarburg	0.0	0.0	1.0
letter	0.2	0.1	0.4
conceded	0.5	0.0	0.0
ccsao	0.0	0.0	1.0
4th-washington	0.0	0.0	1.0
macbook	0.5	0.0	0.0
thriller	0.166666666667	0.0	0.666666666667
bradford	0.0	0.0	1.0
$3000	0.5	0.0	0.0
singer	0.111111111111	0.111111111111	0.555555555556
episode	0.209302325581	0.116279069767	0.348837209302
us1035	0.5	0.0	0.0
emailing	0.5	0.0	0.0
professor	0.166666666667	0.166666666667	0.333333333333
camp	0.105263157895	0.0789473684211	0.631578947368
shedontknow	0.5	0.0	0.0
infinity's	0.5	0.0	0.0
sparkleberry	0.0	0.0	1.0
tech	0.222222222222	0.0555555555556	0.444444444444
fugitives	0.0	0.0	1.0
sternshow	0.25	0.0	0.5
asajoseph	0.0	0.5	0.0
lpg	0.0	0.166666666667	0.666666666667
mustlovespark	0.0	0.0	1.0
mating	0.5	0.0	0.0
sunjennifer	0.0	0.0	1.0
alyoup005	0.0	0.0	1.0
biosimilars	0.5	0.0	0.0
danicaposadas	0.5	0.0	0.0
cooking	0.25	0.0	0.5
bomb	0.333333333333	0.0416666666667	0.25
edwardsali32	0.5	0.0	0.0
chrisbrown	0.5	0.0	0.0
tequila	0.0	0.0	1.0
minimalistic	0.5	0.0	0.0
news957	0.0	0.0	1.0
nominated	0.25	0.125	0.25
bomi	0.5	0.0	0.0
eyeswithpride	0.5	0.0	0.0
prix	0.125	0.125	0.5
gampel	0.181818181818	0.0	0.636363636364
funkmaster	0.0	0.0	1.0
participate	0.0	0.0	1.0
iupati's	0.0	0.0	1.0
tempted	0.0	0.0	1.0
veilrt	0.0	0.0	1.0
effn	0.5	0.0	0.0
deedee	0.0	0.0	1.0
lessons	0.125	0.125	0.5
orleans	0.0	0.0	1.0
touches	0.25	0.0	0.5
busy	0.3125	0.125	0.5
guernville	0.5	0.0	0.0
louise	0.0	0.0	1.0
headline	0.0	0.166666666667	0.666666666667
menu	0.0	0.0	1.0
underpants	0.0	0.0	1.0
supersport	0.0	0.0	1.0
bonuses	0.0	0.0	1.0
cupid	0.25	0.0833333333333	0.333333333333
mens	0.25	0.25	0.0
rihanna	0.125	0.0	0.75
cougar	0.333333333333	0.0833333333333	0.166666666667
theme	0.2	0.0	0.6
ayyye	0.5	0.0	0.0
rick	0.125	0.075	0.6
rich	0.104166666667	0.0208333333333	0.75
networking	0.125	0.0	0.75
titans	0.0625	0.0	1.0
deniessejoaquin	0.5	0.0	0.0
saadra	0.5	0.0	0.0
armory	0.0	0.0	1.0
plate	0.0	0.125	0.75
durrty	0.0	0.0	1.0
cak-alcoa	0.0	0.0	1.0
sense	0.0625	0.3125	0.25
plata	0.5	0.0	0.0
yfc	0.5	0.0	0.0
istillloveeastview	0.5	0.0	0.0
giggs	0.0	0.0	1.0
$16	0.0	0.0	1.0
7-11	0.0	0.0	1.0
12:45	0.25	0.0	0.5
pocket	0.0	0.0	1.0
theamazingsalah	0.0	0.5	0.0
apollonia	0.5	0.0	0.0
fantasygaffer	0.0	0.0	1.0
dhir	0.0	0.5	0.0
suffolk	0.5	0.0	0.0
net	0.0	0.125	0.75
takemeimyours	0.0	0.0	1.0
teamlebron	0.0	0.0	1.0
jaguar	0.5	0.0	0.0
andre's	0.0	0.0	1.0
patco	0.0	0.0	1.0
groupie	0.0	0.0	1.0
aaronhillegass	0.0	0.0	1.0
pretzel	0.0	0.0	1.0
sandwich	0.227272727273	0.0	0.545454545455
patch	0.0	0.0	1.0
three-year	0.0	0.0	1.0
mid-prairie	0.0	0.0	1.0
release	0.193965517241	0.0689655172414	0.724137931034
leader's	0.0	0.0	1.0
isreal	0.5	0.0	0.0
qb/rb	0.0	0.0	1.0
boarded	0.0	0.0	1.0
urgency	0.0	0.5	0.0
atomic	0.0	0.5	0.0
respond	0.0	0.0	1.0
mee	0.5	0.0	0.0
blew	0.0	0.333333333333	0.333333333333
sarahgfans	0.0	0.0	1.0
disaster	0.5	0.25	0.0
fair	0.184210526316	0.0526315789474	0.526315789474
10+	0.0	0.0	1.0
viagara	0.0	0.0	1.0
bathrms+	0.5	0.0	0.0
whywouldyounot	0.5	0.0	0.0
pads	0.0	0.0	1.0
beready	0.5	0.0	0.0
result	0.333333333333	0.0	0.333333333333
47-36	0.0	0.0	1.0
mussers	0.0	0.0	1.0
fail	0.0	0.357142857143	0.285714285714
crouch	0.0	0.0	1.0
pratices	0.0	0.0	1.0
longthorne	0.0	0.0	1.0
rglll	0.0	0.5	0.0
best	0.6875	0.0	0.0
pbbunlimited	0.166666666667	0.0	0.666666666667
detroiters	0.0	0.5	0.0
cobra	0.5	0.0	0.0
moron	0.0	0.0625	1.0
kjomd	0.5	0.0	0.0
pressured	0.1875	0.5	0.0
rationalize	0.0	0.5	0.0
lots	0.26	0.185	0.36
matt_bearden	0.0	0.0	1.0
77-67	0.0	0.0	1.0
rings	0.166666666667	0.333333333333	0.0
lott	0.0	0.5	0.0
toneitup	0.5	0.0	0.0
estaban	0.5	0.0	0.0
stamps	0.166666666667	0.0	0.666666666667
score	0.0454545454545	0.0454545454545	0.818181818182
melissa	0.3125	0.0	0.375
prada	0.0	0.0	1.0
conceptual	0.25	0.375	0.0
chickfila	0.5	0.0	0.0
glasgow	0.25	0.0	0.5
letting	0.0	0.125	0.75
lamar	0.2	0.05	0.5
oomf	0.0	0.5	0.0
jod	0.5	0.0	0.0
nationwide	0.375	0.0	0.25
indesperateneed	0.0	0.0	1.0
dynasty	0.25	0.25	0.0
smelled	0.0	0.5	0.0
youlve	0.5	0.0	0.0
aesthetic	0.125	0.0	1.0
juliet	0.0	0.0	1.0
6-7(9	0.0	0.0	1.0
zmystique	0.0	0.0	1.0
opossom	0.0	0.0	1.0
wtc	0.0	0.5	0.0
then5er	0.5	0.0	0.0
ahmedthalib	0.0	0.5	0.0
wtf	0.0	0.25	0.5
makeredknapparover	0.5	0.0	0.0
carbon	0.0	0.0	1.0
sfgchamps	0.5	0.0	0.0
32.50	0.0	0.0	1.0
roller	0.5	0.0	0.0
roster	0.0	0.0	1.0
accident	0.0	0.5	0.0
onthereal	0.5	0.0	0.0
lgbt	0.0	0.0	1.0
chrislong88	0.0	0.5	0.0
country	0.230769230769	0.0769230769231	0.384615384615
pits	0.0	0.5	0.0
readers	0.0	0.0	1.0
kroeger	0.0	0.0	1.0
adventures	0.25	0.0	1.0
edgar	0.214285714286	0.0714285714286	0.428571428571
godgalovesgodney	0.0	0.0	1.0
familyguy	0.5	0.0	0.0
today's	0.075	0.05	0.75
cianaf	0.0	0.0	1.0
planned	0.0714285714286	0.0	0.857142857143
lookin	0.166666666667	0.0	0.666666666667
surprises	0.5	0.0	0.0
wipeout	0.0	0.0	1.0
deezybaby504	0.5	0.0	0.0
argue	0.5	0.0	0.0
foreverjeti	0.0	0.0	1.0
asked	0.0925925925926	0.0925925925926	0.62962962963
30th	0.157894736842	0.0526315789474	0.578947368421
rachelbowerx	0.5	0.0	0.0
nuus	0.0	0.5	0.0
honouring	0.0	0.5	0.0
vain	0.5	0.1875	0.0
chickas	0.0	0.0	1.0
flicked	0.0	0.5	0.0
11.10	0.0	0.5	0.0
