a$$	a**
cing	seeing
cis	computer information science
ciwwaf	cute is what we aim for
cless	clanless
clm	Cool Like Me
clt	Cool Like That
cluebie	clueless newbie
cm	call me
cma	Cover My a**
cmao	Crying My a** Off
cmar	cry me a river
cmb	comment me back
cmbo	combo
cmcp	call my cell phone
cmeo	crying my eyes out
cmh	Call My House
d&c	divide and conquer
d&df	drug & disease free
d.t.f	down to f**k
d.w	don't worry
d/c	disconnected
d/l	download
d/m	Doesn't Matter
d/w	don't worry
d00d	dude
d1ck	d**k
d2	Diablo 2
d2m	dead to me
d2t	drink to that
d8	date
da	the
da2	Dragon Age 2
dadt	Don't ask. Don't tell.
dafs	do a f**king search
dah	dumb as hell
daii	day
damhik	don't ask me how I know
damhikijk	Don't Ask Me How I Know - I Just Know
damhikt	don't ask me how I know this
dass	dumb a**
dat	that
dats	that's
dawg	Friend
dayum	d**n
dayumm	d**n
db	database
db4l	drinking buddy for life
dbab	don't be a b***h
dbafwtt	Don't Be A Fool Wrap The Tool
dbag	d****ebag
dbeyr	don't believe everything you read
dbg	don't be gay
dbh	don't be hating
dbi	Don't Beg It
dbm	don't bother me
dbz	DragonBall Z
dc	don't care
dc'd	disconnected
dctnry	dictionary
dcw	Doing Cla** Work
dd	don't die
ddf	Drug and Disease Free
ddg	Drop Dead Gorgeous
ddl	direct download
ddos	Distributed Denial of Service
ddr	dance dance revolution
deets	details
deez	these
def	definitely
defs	definetly
degmt	Don't Even Give Me That
dem	them
der	there
dernoe	I don't know
detai	don't even think about it
dewd	Dude
dey	they
df	Dumb f**k
dfc	DON'T f**kING CARE
dfo	dumb f**king operator
dftba	don't forget to be awesome
dftc	down for the count
dfu	don't f**k up
dfw	down for whatever
dfw/m	Don't f**k with Me
dfwm	Don't f**k with Me
dfwmt	Don't f**king waste my time
dg	don't go
dga	don't go anywhere
dgac	don't give a crap
dgaf	don't give a f**k
dgara	don't give a rats a**
dgas	Don't give a s**t
dgms	Don't get me started
e-ok	Electronically OK
e.g.	example
e4u2s	easy for you to say
eabod	eat a bag of dicks
ead	eat a d**k
ebitda	earnings before interest, taxes, depreciation and amortization
ecf	error carried forward
edumacation	education
eedyat	idiot
eejit	idiot
ef	f**k
ef-ing	f**king
efct	effect
effed	f**ked
efffl	extra friendly friends for life
effin	f**king
effing	f**king
eg	evil grin
ehlp	help
eil	explode into laughter
el!t	elite
eleo	Extremely Low Earth Orbit
ello	hello
elo	hello
em	them
emm	email me
emo	emotional
emp	eat my p***y
enat	every now and then
enit	isn't  it
enof	enough
enuf	enough
enuff	enough
eob	End of Business
eoc	end of conversation
eod	End of day
eof	end of file
eom	end of message
eos	end of story
eot	end of transmission
eotw	end of the world
epa	Emergency Parent Alert
eq	Everquest
eq2	Everquest2
ere	here
errythin	everything
esad	eat s**t and die
esadyffb	eat s**t and die you fat f**king b*****d
esbm	Everyone sucks but me
esc	escape
esl	eat s**t loser
eta	Estimated Time of Arrival
etla	extended three letter acronym
etmda	Explain it to my dumb a**
etp	eager to please
eula	end user license agreement
ev1	everyone
eva	ever
evaa	ever
evar	ever
evercrack	Everquest
every1	everyone
evn	even
evr	ever
evry	every
evry1	every one
evrytin	everything
ex-bf	Ex-Boy Friend
ex-gf	Ex-Girl Friend
exp	experience
ey	hey
eyez	eyes
ez	Easy
ezi	easy
f u	f**k you
f#cking	f**king
f&e	forever and ever
f'n	f**king
f-ing	f**king
f.b.	facebook
f.m.l.	f**k my life
f.u.	f**k you
f/o	f**k off
f00k	f**k.
f2f	face to face
f2p	free to play
f2t	Free to talk
f4c3	face
f4eaa	friends forever and always
f4f	female for female
f4m	female for male
f8	fate
f9	fine
f@	fat
fa-q	f**k you
faa	forever and always
fab	fabulous
faggit	faggot
fah	Funny as hell
faic	For All I Care
fam	family
fankle	area between foot and ankle
fao	for attention of
fap	masturbate
fapping	masterbating
faq	frequently asked question
farg	f**k
fashizzle	for sure
fav	Favorite
fave	favorite
fawk	f**k
fbimcl	Fall Back In My Chair Laughing
fbk	facebook
fbtw	Fine Be That Way
fc	fruit cake
fcbk	facebook
fcfs	first come first served
fck	f**k
fckd	f**ked
fckin	f**king
fcking	f**king
fckm3hdbayb	f**k Me Hard Baby
fcku	f**k you
fcol	for crying out loud
fcuk	f**k
fe	fatal error
feck	f**k
fer	for
ferr	For
ff	friendly fire
ffa	free for all
ffcl	falling from chair laughing
ffr	for future reference
ffs	for f**k's sake
fft	food for thought
ffxi	Final Fantasy 11
fg	f**king gay
fgi	f**king google it
fgs	for God's sake
fgssu	For Gods sake shut up
fgt	faggot
fi	f**k it
fi9	fine
fibijar	f**k it buddy, I'm just a reserve
fifo	first in, first out
fify	Fixed It For You
figjam	f**k I'm good, just ask me
figmo	F*ck it - got my orders
fiic	f**ked If I Care
fiik	f**ked If I Know
fimh	forever in my heart
fio	figure it out
fitb	fill in the blank
fiv	five
*g*	grin
g'nite	good night
g/f	girlfriend
g/g	got to go
g0	go
g00g13	Google
g1	good one
g2	go to
g2/-/	go to hell
g2bg	got to be going
g2bl8	going to be late
g2cu	glad to see you
g2e	got to eat
g2g	got to go
g2g2tb	got to go to the bathroom
g2g2w	got to go to work
g2g4aw	got to go for a while
g2gb	got to go bye
g2gb2wn	got to go back to work now
g2ge	got to go eat
g2gn	got to go now
g2gp	got to go pee
g2gpc	got 2 go parents coming
g2gpp	got to go pee pee
g2gs	got to go sorry
g2h	go to hell
g2hb	go to hell b***h
g2k	good to know
g2p	got to pee
g2t2s	got to talk to someone
g3y	gay
g4u	good for you
g4y	good for you
g8	gate
g9	good night
g@y	gay
ga	go ahead
gaalma	go away and leave me alone
gaf	good as f**k
gafi	get away from it
gafl	get a f**king life
gafm	Get away from me
gagf	go and get f**ked
gagp	go and get pissed
gah	gay a** homo
gai	gay
gaj	get a job
gal	get a life
gamez	illegally obtained games
gangsta	gangster
gank	kill
gaoep	generally accepted office etiquette principles
gaw	grandparents are watching
gawd	god
gb	Go back
gb2	go back to
gba	game boy advance
gbioua	Go blow it out your a**
gbnf	Gone but not forgotten 
gbtw	go back to work
gbu	god bless you
gby	good bye
gcad	get cancer and die
gcf	Google Click Fraud
gd	good
gd&r	grins, ducks, and runs
gd4u	Good For You
gday	Good Day
gdby	good bye
gded	grounded
gdgd	good good
gdi	God d**n it
gdiaf	go die in a fire
gdih	Go die in hell
gdilf	Grandad I'd Like To f**k
gdmfpos	god d**n mother f**king piece of s**t
gdr	grinning, ducking, running
gemo	gay emo
h&k	hugs and kisses
h*r	homestar runner
h+k	hugs and kisses
h.o	hold on
h/e	However
h/mo	homo
h/o	hold on
h/u	hold up
h/w	homework
h2	Halo 2
h2gtb	have to go to the bathroom
h2o	water
h2sys	hope to see you soon
h3y	hey
h4kz0r5	hackers
h4x	Hacks
h4x0r	hacker
h4xor	hacker
h4xr	hacker
h4xrz	hackers
h4xx0rz	hacker
h4xxor	hacker
h8	hate
h80r	hater
h82sit	hate to say it
h83r	hater
h8ed	hated
h8er	hater
h8r	hater
h8red	Hatred
h8s	hates
h8t	hate
h8t0r	hater
h8t3r	hater
h8te	hate
h8tr	hater
h8u	I Hate You
h9	Husband in Room
habt	how about this
hafta	have to
hagd	have a good day
hagl	have a great life
hagn	have a good night
hago	have a good one
hags	have a great summer
hai	hello
hait	hate
hak	here's a kiss
hakas	have a kick a** summer
hammrd	hammered
han	how about now
hau	How Are You
hav	have
havnt	haven't
hawf	Husband and Wife forever
hawt	hot
hawtie	hottie
hax	Hacks
hax0r	hacker
hax0red	hacked
hax0rz	Hackers
haxer	Hacker
haxor	hacker
haxoring	hacking
haxors	hackers
haxorz	hackers
haxxor	hacker
haxxzor	Hacker
haxz0r	Hacker
haxzor	hacker
hayd	how are you doing
hb	hurry back
hb4b	hoes before bros
hbd	happy birthday
hbic	head b***h in charge
hbii	how big is it
hbu	how about you
hby	how about you
hc	how come
hcbt1	he could be the one
hcib	how can it be
hcihy	how can I help you
hdop	Help Delete Online Predators
i 	I love you
i c	i see
i8	alright
i8u	i hate you
i	i love you
i	I love you
iab	I Am Bored
iafh	I Am f**king Hot
iafi	I am from India
iag	it's all good
iah	i am horny
iai	i am interested
ianabs	I am not a brain surgeon
ianacl	I am not a copyright lawyer
ianal	I am not a lawyer
ianalb	I am not a lawyer, but..
ianars	I am not a rocket scientist
ians	I am Not Sure
ianyl	I am not your lawyer
iap	I Am Pissed
iasb	i am so bored
iaspfm	i am sorry please forgive me
iatb	I am the best
iateu	i hate you
iavb	i am very bored
iaw	In Another Window
iawtc	I agree with this comment
iawtp	I agree with this post
iawy	I agree with you
ib	I'm back
ibbl	I'll be back later
ibcd	Idiot between chair & desk
ibs	Internet b***h Slap 
ibt	I'll be there
ibtl	In Before The Lock
ibw	I'll be waiting
ic	I see
icb	I can't believe
icbi	i can't believe it
icbiwoop	I chuckled, but it was out of pity.
icbt	i can't believe that
icbu	I can't believe you
icbyst	i cant believe you said that
iccl	I could care less
icgup	I can give you pleasure
icic	I See. I See
icp	insane clown posse
icr	I can't rememer
icsrg	I can still reach Google
ictrn	I can't talk right now
icty	i can't tell you 
icu	i see you
icudk	in case you didn't know
icup	i see you pee
icw	I care why?
icwudt	I see what you did there
icwum	I see what you mean
icydk	in csae you didn't know
icydn	in case you didn't know
icymi	in case you missed it
id10t	idiot
idbtwdsat	I don't believe they would do such a thing
idby	I Don't Believe You
idc	I don't care
iddi	I didn't do it
idec	I don't even care
idek	 I don't even know
idfc	i don't f**king care
idfk	i don't f**king know
idfts	I don't f**king think so
idgac	i don't give a crap
idgad	I don't give a d**n
idgaf	i don't give a f**k
idgaff	I don't give a flying f**k
j-c	just chilling
j/a	Just Asking
j/c	just curious
j/j	just joking
j/k	just kidding
j/o	jackoff
j/p	just playing
j/s	just saying
j/t	just talking
j/w	just wondering
j00	you
j00r	your
j2bs	just to be sure
j2c	just too cute
j2f	just too funny
j2luk	just to let you know
j2lyk	just to let you know
j4f	just for fun
j4g	just for grins
j4l	just for laughs
j4u	just for you
jalaudlm	just as long as you don't leave me
jas	just a second
jb	jailbait
jbu	just between us
jc	just curious
jcam	just checking away message
jcath	Just chilling at the house
jdfi	Just f**king do it
jebus	Jesus
jeomk	Just ejaculated on my keyboard
jf	just fooling
jfc	Jesus f**king Christ
jfdi	Just f**king Do It!
jff	just for fun
jfg	just for giggles
jfgi	just f**king google it
jfi	just forget it
jfj	jump for joy
jfk	Just f**king kidding
jfl	just for laughs
jflts	just felt like typing something
jfn	just for now
jfo	just f**k off
jfr	Just for reference
jftr	just for the record
jfu	just for you
jfwy	just f**king with you
jg2h	just go to hell
jgiyn	Just google it you noob
jgtfooh	just get the f**k out of here
jh	Just hanging
jhm	just hold me
jho	just hanging out
jic	just in case
jit	just in time
jizz	semen
jj	just joking
jj/k	just joking
jja	just joking around
jk	just kidding
jka	just kidding around
jking	joking
jkl	just kidding loser
jklol	Just Kidding Laughing Out Loud
jkn	joking
jks	jokes
jkz	jokes
jlma	just leave me alone
jlt	just like that
jm	Just Messing
jma	just messing around
jml	just my luck
jmo	just my opinion
jms	just making sure
jom	just one minuite
joo	you
jooc	just out of curiosity
k	ok
k3wl	cool
ka	Kick a**
kafn	kill all f**king noobs
kah	kisses and hugs
kaw	kick a** work
kay	okay
kb	KiloBite
kcco	keep calm chive on
kek	laughing out loud
kewel	cool
kewl	cool
kfc	kentucky fried chicken
khitbash	kick her in the box and shove her
khuf	know how you feel
kia	Killed In Action
kib	okay, im back
kic	keep it clean
kicks	sneakers
kig	keep it going
kiled	killed
kinda	kind of
kir	kid in room
kis	keep it simple
kisa	knight in shining armor
kit	keep in touch
kitfo	knock it the f**k off
kitteh	kitten
kiu	Keep it up
kiwf	Kill It With Fire
kk	ok
kkk	ku klux klan
kkthnxbye	okay thanks bye
kky	kinky
kl	cool
km	kiss me
kma	kiss my a**
kmag	kiss my a** goodbye
kmao	kick my a** off
kmb	kiss my butt
kmfa	kiss my f**king a**
kmhba	kiss my hairy big a**
kml	Killing Myself Laughing
kmn	kill me now
kmp	kill me please
kmsl	killing myself laughing
kmswl	killing myself with laughter
knackered	drunk
knewb	new player
knn	f**k your mother
kno	know
knw	know
ko	knock out
kol	kiss on lips
koo	cool
kool	cool
kos	kid over shoulder
kotc	kiss on the cheek
kotl	kiss on the lips
kotor	Knights of the old republic
kots	keep on talking s**t
kpc	keeping parents clueless
ks	kill steal
kss	kiss
kssd	kissed
kt	keep talking
ktc	kill the cat
ktfo	knocked the f**k out
kthanxbi	Okay, thanks. Bye.
kthnxbai	Okay, thanks, bye
kthnxbye	Okay, thanks, bye
kthx	ok, thank you
kthxbai	ok thanks bye!
kthxbi	ok, thank you, goodbye
kthxbye	ok, thank you, goodbye
kthxbye	ok, thank you, goodbye
kthxgb	ok thanks goodbye
kthxmn	Ok Thanks Man
l0lz	laugh out loud
l2	learn to
l2m	listening to music
l2ms	laughing to myself
l2p	learn to play
l2r	Learn to read
l337	elite
l33t	elite
l4m3rz	lamers
l8	late
l84skool	late for school
l8a	later
l8er	later
l8ers	Later
l8r	see you later
l8rs	laters
l8rz	later
l8s	later
l8t	later
l8ta	later
l8ter	later
l8tr	later
l@u	laughing at you
laff	laugh
lafs	love at first sight
lak	love and kisses
lal	laughing a little
lalol	lots and lots of laughs
lam	leave a message
lamf	like a motherf**ker
lan	local area network
lappy	Laptop
larp	live action role-play
lasb	Lame a** Stupid b***h
lat	laugh at that
lata	later
lates	later
latn	laugh at the newbs
latr	Later
latwttb	laughing all the way to the bank
lau	laugh at you
lawd	lord
lawl	lauging out loud with a southern drawl
lawl'd	laughed out loud
lawled	laughed out loud
lawls	laughing out loud with a southern drawl
lawlz	laughing out loud with a southern drawl
lazer	laser
lazor	laser
lbh	let's be honest
lbnr	laughing but not really
lbo	laughing butt off 
lbr	little boy's room
lbvs	laughing but very serious
lcsnpc	low cost small notebook personal computer
ldr	Long-distance relationship
lee7	elite
leet	elite
legit	legitimate
leik	like
leme	let me
lemme	let me
lesbo	lesbian
less than 3	love
less than three	love
lez	Lesbian
lezbean	lesbian
lezbo	lesbian
lezzzie	lesbian
lf	looking for
lf1m	Looking for one more
lf2m	looking for 2 more
lfg	Looking for group
lfl	let's f**k later
lfm	looking for mate
lfnar	laughing for no aparent reason
lfp	looking for p***y
lfr	Laughing for real
m	am
m$	Microsoft
m$wxp	Microsoft Windows XP
m&d	mom and dad
m'kay	okay
m.i.a	Missing In Action
m.o	makeout
m/b	maybe
m/f	male or female
m2	me too
m3	me
m473s	friends
m473z	friends
m4f	male for female
m4m	male for male
m8	friend
m84l	mate for life
m8s	mates
m8t	mate
m8t's	friends
m9	mine
mabby	maybe
mabe	Maybe
mah	my
mai	my
mao	my a** off
marvy	marvelous
masterb8	masterbate
mastrb8	masturbate.
mayb	maybe
mayte	mate
mb	my bad
mbf	my best friend
mbfal	my best friend and lover
mbhsm	My Boobs Hurt So Much
mbl8r	Maybe Later
mcds	mcdonalds
mcs	My computer sucks
mcse	Microsoft Certified Systems Engineer
me2	me too
meatcurtain	woman's private parts
meatspace	the real world
meeh	me
mego	my eyes glaze over
meh	whatever
messg	message
mf	motherf**ker
mf2f4sx	meet face to face for sex
mfa	mother f**king a**h**e
mfah	motherf**king a**h**e
mfao	my f**king a** off
mfb	mother f**king b***h
mfg	merge from current
mfkr	motherf**ker
mflfs	married female looking for sex
mfr	motherf**ker
mfw	my face when
mgiwjsdchmw	my girlfriend is watching jeff so don't call her my wife
mhh	my head hurts
mhm	Yes
mho	My Humble Opinion
mia	Missing In Action
mic	microphone
miid	my internet is down
milf	Mom i'd like to f**k
miltf	Mom I'd like to f**k
min	minute
mins	minutes
miq	make it quick
mir	mom in room
mirl	meet in real life
misc.	miscellaneous
miself	myself
mite	might
miw	mom is watching
miwnlf	mom I would not like to f**k.
mk	mmm....ok
mkay	ok
mlc	mid life crisis
mle	emily
mmorpg	massively multiplayer online role playing game
n	and
n e	any
n/a	not applicable
n/a/s/l	name, age, sex location
n/c	no comment
n/m	nevermind
n/n	nickname
n/o	no offense
n/t	no text
n00b	newbie
n00bs	newbies
n00dz	nudes
n00s	news
n1	nice one
n199312	african american
n1994	african american
n2	into
n2b	not too bad
n2bb	nice to be back
n2br	not to be rude
n2g	Not too good
n2m	not too much
n2mh	not too much here
n2mhbu	not too much how about you?
n2mhjc	not too much here just chillin
n2mu	not too much, you?
n2n	need to know
n2p	need to pee
n64	Nintendo 64
n8v	native
na	not applicable
na4w	not appropriate for work
naa	not at all
nade	grenade
nafc	Not Appropriate for Children
nafkam	Not Away From Keyboard Any More
naft	Not A f**king Thing
nafta	North American Free Trade Agreement
nah	no
namh	not at my house
nao	Not As Often
natch	naturally
natm	not at the minute
naw	no
naw-t	Naughty
nawidt	never again will i do that
nawt	not
naww	no
nayl	in a while
nb	not bad
nb,p	nothing bad, parents
nba	national basketball association 
nbd	no big deal
nbdy	nobody
nbf	never been f**ked
nc	not cool
ncaa	National Collegiate Athletic Association
ncs	no crap sherlock
nd	and
ndit	No details in thread
ndn	indian
nds	Nintendo DS
ne	any
ne1	anyone
neday	any day
nedn	any day now
nefing	anything
nei	Not enough information
neida	any idea
nekkid	naked
nemore	Anymore
nes	Nintendo Entertainment System
nethin	anything
nething	anything
neva	never
nevah	never
nevar	Never
nevarz	never
o	Oh
o rly	oh really
o&o	over and out
o.p.	Original Poster
o/y	oh yeah
oaoa	over and over again
oar	on a roll
oaw	on a website
obgjfioyo	old but good job finding it on your own
obj	Object
obl	osama bin laden
obo	or best offer
obtw	oh, by the way
obv	obviously
obvi	obviously
occ	Occupation
ocd	obsessive compulsive disorder
ocgg	Oh Crap, gotta go
od	over dose
oday	software illegally obtained before it was released
odg	oh dear God
odtaa	one d**n thing after another
oe	or else
oed	oxford english dictionary
of10	often
ofc	of course
ofcol	oh for crying out loud
ofn	Old f**king News
oftc	out for the count
oftn	often
oftpc	off topic
ofwg	old fat white guys
og	original gangster
ogw	oh guess what
oh noes	oh s**t!
oh noez	Oh no!
ohic	oh I see
ohn	oh hell no
ohnoez	Oh no
ohy	oh hell yeah
oibmpc	oops I broke my computer
oic	oh, I see
oicic	oh i see i see
oicu	oh, i see you!
oicwydt	oh, i see what you did there
oidia	oops i did it again
oiyd	Only In Your Dreams
oj	orange juice
ojsu	Oh, just shut up!
ok	okay
oll	online love
olpc	One Laptop Per Child
omdg	oh my dear god
omdz	Oh My Days 
omfd	oh my f**king days
omfg	oh my f**king god
omfgn	Oh my f**king god noob
omfgsh	Oh My f**king Gosh
omfj	oh my f**king jesus
omfl	oh my f**king internet connection is slow
omfsm	Oh My Flying Spaghetti Monster
omfwtg	Oh My f**k What The God?
omg	oh my God
omg's	oh my god's
omgd	Oh my gosh dude
omgf	oh my god...f**k!
omgg	Oh my gosh girl
omgicfbi	Oh my god I can't f**king believe it
omgih	Oh My God In Heaven
omgihv2p	oh my god i have to pee
omginbd	Oh my God, It's no big deal
omgn	oh my goodness
omgny	oh my god no way
omgosh	Oh my gosh
omgroflmao	oh my god roll on the floor laughing my a** off
p-nis	penis
p.o.b.	Parent Over Back
p.o.s	parent over shoulder
p.o.s.	parent over shoulder
p/oed	pissed off
p/w	password
p00p	poop
p0wn	make to look bad
p2p	peer to peer
p33n	penis
p3n0r	penis
p3n15	penis
p3n1s	penis
p4p	pic for pic
p911	parent emergency (parent near)
p@w	parents are watching
pach	parents are coming home
pachs	parents are coming home soon
pae	Pimpin aint easy
pag	Parents Are Gone
pah	parents at home
parnts	parents
pas	parent at side
pasii	put a sock in it
patd	Panic At The Disco
paw	parents are watching
pb	peanut butter
pb&j	peanut butter and jelly
pbb	parent behind back
pbcakb	problem between chair and keyboard
pbj	peanut butter and jelly
pbjt	peanut butter jelly time
pbkc	Problem between keyboard & chair
pbly	probably
pbm	parent behind me
pbp	Please Be Patient
pcbd	page cannot be displayed
pce	peace
pcent	percent
pcm	please call me
pco	please come over
pcrs	Parents can read slang
pda	public display of affection
pdg	pretty d**n good
pdq	pretty d**n quick
peanus	penis
pearoast	repost
pebcak	Problem Exists Between Chair and Keyboard
pebkac	problem exists between keyboard and chair
pebmac	Problem Exist Between monitor and chair
peep dis	check out what I'm telling you
peeps	people
pen0r	Penis
pen15	penis
penor	penis
peoples	people
perv	pervert
pewp	poop
pex	Please explain?
pezzas	parents
pf	profile 
pfa	Please Find Attached
pfm	Please forgive me
pfo	please f**k off
pfos	parental figure over sholder
pfy	pimply faced youth
pg	page
ph#	phone number
ph33r	fear
ph34r	fear
phag	f**
phail	fail
phat	pretty hot and tasty
phayl	fail
phear	fear
phlr	peace hugs love respect
phm	please help me
q2c	quick to c**
q33r	Queer
q4u	question for you
qed	I've made my Point
qfe	quoted for emphasis
qfmft	quoted for motherf**king truth
qft	quoted for truth
qft&gj	quoted for truth and great justice
ql	cool
qltm	quietly laughing to myself
qna	question and answer
qool	cool
qoolz	cool
qotd	quote of the day
qotsa	queens of the stone age
qoty	quote of the year
qpr	quite pathetic really
qpwd	quit posting while drunk
qq	crying eyes
qt	cutie
qt3.14	cutie pie
qte	cutie
qtpi	cutie pie
r	are
r-tard	retard
r.i.p.	rest in peace
r0x0rz	rocks
r2f	Ready To f**k
r8	rate
r8p	rape
r8pist	rapist
r8t	rate
ra2	red alert 2 (game)
ra3	Red Alert 3 (game)
raoflmao	rolling around on floor laughing my a** off
rawk	Rock
rawks	rocks
rawr	roar
rb@u	right back at you
rbau	right back at you
rbay	right back at you
rbm	right behind me
rbtl	Read between the lines
rbty	right back to you
rcks	Rocks
rcsa	right click save as
rcvd	received
rdy	ready
re	reply
re/rehi	hello again
reefer	marijuana
refl	rolling on the floor laughing
rehi	hello again
rele	really
rents	parents
rentz	parents
rep	to represent
reppin	representing
retrotextual	One who is using out of date words and abbreviations while texting.
rff	really f**king funny
rflmao	rolling on the floor laughing my a** off
rfn	right f**king now
rgr	roger
rhcp	red hot chilli peppers
rhgir	really hot guy in room
rhs	right hand side
ricl	rolling in chair laughing
rifk	rolling on the floor laughing
rihad	Rot In Hell And Die
rino	republican in name only
rite	right
ritjive	non virgin
rjct	reject
rl	real life
rlbf	Real Life Boy Friend
rlf	Real Life Friend
rlg	really loud giggle
rlgf	Real Life Girl Friend
rlly	really
rln	real life name
rly	really
rlz	rules
rlze	realize
rm	room
rme	rolling my eyes
rmr	remember
rmso	Rock My socks off
rn	Right now
rnt	aren't
ro	rock out
rockr	rocker
rodger	affirmative
rofalol	roll on the floor and laugh out loud
rofc	Rolling On Floor Crying
roffle	rolling on the floor laughing
roffle out loud	rolling on the floor laughing out loud
rofflecake	rolling on the floor laughing
rofflecopters	rolling on the floor with laughter
roffleol	rolling on the floor laughing out loud
*s*	smile
s'ok	it's okay
s'pose	suppose
s'up	what is up
s.i.n.g.l.e	Stay intoxicated nightly, get laid everyday.
s.i.t.	stay in touch
s.o.a.b.	son of a b***h
s.o.b.	son of a b***h
s.w.a.k.	sealed with a kiss
s/b	should be
s2a	sent to all
s2bu	Sucks to be you
s2r	send to receive
s2u	same to you
s2us	Speak to you soon
s3x	Sex.
s4se	Sight For Sore Eyes
s8ter	skater
sab	slap a b***h
sagn	Spelling and Grammar Nazi
sah	sexy as hell
sahm	stay at home mom
sase	self addressed stamped envelope
sbc	sorry bout caps
sbcg4ap	strongbads cool game for attractive people
sbd	silent but deadly
sblai	stop babbaling like an idiot
sbrd	so bored
sbs	such bull s**t
sbt	sorry bout that
scnr	sorry, I couldn't resist
scool	school
scrilla	money
scrt	secret
scurred	scared
sd	suck d**k
sdf^	shut da f**k up
sdk	Software Development Kit
